scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
sjf,2.0,120,27.4,24.95,81.8,14.98,15.03,14.56,18.26,19.2
sjf,4.0,240,30.22,28.0,87.25,20.04,20.09,20.93,22.49,23.22
sjf,8.0,480,49.5,44.07,190.02,46.04,46.07,47.32,59.98,63.35
sjf,16.0,960,15482.74,306.12,81249.16,87.06,112.98,101.77,169.63,202.83
sjf,32.0,1920,69520.41,48384.78,247635.66,102.71,226.89,245.0,367.77,404.86
sjf,64.0,3840,210590.55,152869.08,693007.7,123.7,506.31,541.31,856.2,913.53
sjf-totalwork-0.1,2.0,120,25.03,24.03,45.49,15.16,15.2,14.75,18.47,19.09
sjf-totalwork-0.1,4.0,240,30.31,29.72,51.46,20.55,20.61,21.62,23.03,24.29
sjf-totalwork-0.1,8.0,480,50.06,43.04,182.05,48.2,48.21,49.23,63.21,67.02
sjf-totalwork-0.1,16.0,960,15796.4,349.6,82524.64,87.89,114.7,102.65,173.45,206.33
sjf-totalwork-0.1,32.0,1920,69424.05,48870.63,246908.24,102.55,227.06,241.06,369.82,408.92
sjf-totalwork-0.1,64.0,3840,210829.98,152440.58,697270.7,123.85,508.44,538.94,864.93,941.63
sjf-totalwork-0.5,2.0,120,27.08,25.94,55.52,15.11,15.17,14.71,18.6,19.02
sjf-totalwork-0.5,4.0,240,32.62,30.03,130.89,20.82,20.89,21.91,23.24,25.57
sjf-totalwork-0.5,8.0,480,50.92,44.18,206.41,48.15,48.13,49.2,62.8,68.54
sjf-totalwork-0.5,16.0,960,16308.54,347.24,81745.8,87.28,118.2,100.08,182.51,265.49
sjf-totalwork-0.5,32.0,1920,71861.76,49785.39,247758.12,101.79,263.62,234.91,440.91,657.44
sjf-totalwork-0.5,64.0,3840,219058.76,161570.34,694824.67,123.29,658.9,544.6,1118.71,1849.8
sjf-totalwork-1.0,2.0,120,26.54,25.38,45.72,15.62,15.67,15.47,19.15,19.85
sjf-totalwork-1.0,4.0,240,29.81,29.18,49.4,20.82,20.89,21.89,23.21,24.05
sjf-totalwork-1.0,8.0,480,51.69,45.31,200.58,49.32,49.31,50.6,64.45,68.27
sjf-totalwork-1.0,16.0,960,17666.98,401.98,87805.41,87.29,137.02,99.33,217.1,369.19
sjf-totalwork-1.0,32.0,1920,78688.96,59441.9,255968.48,102.35,419.06,232.52,595.04,2005.85
sjf-totalwork-1.0,64.0,3840,237402.12,184597.44,703780.35,123.94,1112.42,541.61,1497.28,5840.86
