scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
sjf,2.0,120,29.43,26.27,112.93,15.33,15.39,14.79,18.89,20.14
sjf,4.0,240,29.48,28.41,50.72,20.45,20.5,21.38,22.9,23.76
sjf,8.0,480,49.61,45.27,164.69,48.89,48.9,50.63,63.16,67.21
sjf,16.0,960,18743.48,489.49,90866.72,95.12,127.45,112.57,192.73,224.51
sjf,32.0,1920,72847.76,52748.44,254422.13,105.99,237.28,260.21,379.29,415.03
sjf,64.0,3840,212585.11,155569.87,697515.98,124.64,511.62,549.57,862.7,919.95
srtf-oracle,2.0,120,233.81,34.06,1852.88,15.88,16.79,15.44,22.58,28.14
srtf-oracle,4.0,240,45.26,41.13,113.2,19.88,20.04,20.45,23.05,24.0
srtf-oracle,8.0,480,93.25,83.47,291.69,43.75,44.13,45.48,55.87,58.94
srtf-oracle,16.0,960,9235.79,185.05,73101.59,86.67,100.38,96.7,146.58,164.83
srtf-oracle,32.0,1920,51894.61,2534.11,218482.62,108.67,193.29,190.15,318.5,352.94
srtf-oracle,64.0,3840,183999.72,141339.27,568926.77,125.14,447.03,511.27,721.85,765.05
