scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,55.21,46.1,173.3,24.32,24.75,24.77,28.23,31.21
fcfs,4.0,240,121.7,122.43,343.1,59.15,60.31,63.92,81.73,89.78
fcfs,8.0,480,192.9,176.36,473.19,100.74,102.64,104.72,147.09,162.5
fcfs,16.0,960,26980.27,8970.08,90978.84,149.28,638.33,203.31,1553.26,6963.55
fcfs,32.0,1920,116630.86,106585.28,302342.22,171.64,2136.44,566.54,6135.99,20432.19
fcfs,64.0,3840,355614.34,360552.42,768775.72,195.23,6523.9,1555.16,19791.6,60866.16
opt-xxx,2.0,120,90.03,85.96,177.16,30.67,31.54,32.37,38.86,41.62
opt-xxx,4.0,240,57.58,53.85,145.95,25.97,26.56,27.08,28.9,35.78
opt-xxx,8.0,480,245.83,235.29,576.54,121.8,124.37,126.01,172.93,200.41
opt-xxx,16.0,960,8288.2,369.78,98408.99,195.21,213.73,197.65,275.1,488.82
opt-xxx,32.0,1920,47423.68,348.16,280063.12,207.18,340.52,199.85,563.06,1804.97
opt-xxx,64.0,3840,174231.72,58279.33,709190.77,296.25,940.89,599.32,1461.81,9625.7
tpt-class10-xxx,2.0,120,100.16,97.61,206.6,32.99,33.94,34.94,40.92,48.83
tpt-class10-xxx,4.0,240,143.43,135.05,361.63,60.57,62.0,63.85,79.82,86.05
tpt-class10-xxx,8.0,480,234.63,194.42,733.96,113.67,115.84,114.58,174.56,202.54
tpt-class10-xxx,16.0,960,9885.92,289.79,96623.6,208.04,339.16,183.23,401.27,4216.08
tpt-class10-xxx,32.0,1920,87564.22,711.48,321221.76,390.77,1874.7,455.79,4886.25,20303.9
tpt-class10-xxx,64.0,3840,302164.47,285082.25,775949.49,651.34,5412.11,1316.92,15647.99,54543.36
