scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,34.26,30.08,63.72,13.57,13.84,13.6,15.2,18.75
fcfs,4.0,240,36.94,35.16,76.99,16.94,17.28,17.21,19.41,21.01
fcfs,8.0,480,60.41,58.43,157.94,28.19,28.81,30.04,33.88,38.69
fcfs,16.0,960,7674.4,209.98,31985.13,83.14,224.35,102.74,463.95,2113.63
fcfs,32.0,1920,56233.09,54497.94,138640.82,93.34,1049.38,280.97,2982.06,10372.2
fcfs,64.0,3840,172565.99,174638.79,371291.77,100.68,3172.89,758.19,9519.61,29413.62
opt-xxx,2.0,120,37.01,33.88,68.69,13.17,13.49,13.32,14.67,15.91
opt-xxx,4.0,240,39.6,38.51,70.41,16.79,17.2,17.05,19.31,22.85
opt-xxx,8.0,480,59.78,58.55,117.53,26.57,27.2,28.31,31.47,36.81
opt-xxx,16.0,960,751.13,137.26,21399.8,72.65,74.94,82.52,94.81,124.18
opt-xxx,32.0,1920,19167.39,192.56,141929.74,113.05,161.29,104.51,270.12,724.59
opt-xxx,64.0,3840,83957.56,484.54,374332.42,145.43,431.76,250.83,707.23,4101.92
tpt-class10-xxx,2.0,120,38.14,34.36,72.64,13.25,13.59,13.43,14.63,16.52
tpt-class10-xxx,4.0,240,40.98,38.1,88.59,16.76,17.21,17.07,19.34,21.7
tpt-class10-xxx,8.0,480,59.57,57.78,147.96,26.66,27.3,28.41,31.8,34.49
tpt-class10-xxx,16.0,960,1375.65,138.04,28699.12,80.06,96.08,84.4,106.61,602.92
tpt-class10-xxx,32.0,1920,35874.69,240.65,156584.22,151.39,714.4,176.25,1669.29,7799.81
tpt-class10-xxx,64.0,3840,158896.35,147039.83,422463.41,289.58,2905.81,653.32,8483.02,33466.78
