scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,36.53,30.54,141.91,13.33,13.63,13.42,14.68,17.84
fcfs,4.0,240,34.67,33.16,82.86,16.39,16.71,16.61,18.8,20.18
fcfs,8.0,480,52.25,50.67,136.91,25.17,25.68,26.67,29.26,32.09
fcfs,16.0,960,4199.59,155.25,19856.54,69.61,147.62,83.4,260.88,1263.68
fcfs,32.0,1920,51288.5,49045.23,130467.8,88.83,959.19,261.51,2731.87,9216.68
fcfs,64.0,3840,169748.44,171991.47,366072.4,99.51,3119.24,747.2,9378.99,29506.72
opt-xxx,2.0,120,39.53,34.27,100.98,13.31,13.64,13.4,14.89,17.22
opt-xxx,4.0,240,40.17,38.84,62.56,16.75,17.14,17.03,19.3,21.36
opt-xxx,8.0,480,60.05,59.51,141.12,26.63,27.29,28.36,31.43,36.15
opt-xxx,16.0,960,792.58,135.96,21988.12,72.89,75.18,82.65,95.83,123.56
opt-xxx,32.0,1920,18969.69,188.26,140024.29,111.68,158.96,103.18,267.27,711.91
opt-xxx,64.0,3840,82983.49,477.77,370870.5,144.16,425.99,246.57,701.14,4054.66
tpt-class10-xxx,2.0,120,39.01,34.96,79.46,13.39,13.76,13.57,14.74,17.05
tpt-class10-xxx,4.0,240,41.44,38.62,81.93,16.75,17.18,17.06,19.58,21.37
tpt-class10-xxx,8.0,480,58.91,57.14,147.65,25.97,26.59,27.53,31.02,36.18
tpt-class10-xxx,16.0,960,1125.15,133.26,25301.86,76.44,86.63,82.39,100.55,521.92
tpt-class10-xxx,32.0,1920,36045.05,244.33,153377.24,147.77,705.81,160.16,1612.36,8962.52
tpt-class10-xxx,64.0,3840,151727.44,136946.89,413294.94,274.69,2780.48,624.54,8161.13,33044.96
