scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,39.55,32.13,94.16,14.82,14.93,14.44,17.89,18.83
fcfs,4.0,240,44.0,39.83,89.04,19.34,19.52,20.2,21.82,22.32
fcfs,8.0,480,93.65,85.6,248.51,42.93,43.35,44.16,56.51,60.33
fcfs,16.0,960,20066.01,14901.0,61365.07,83.25,201.39,125.57,286.02,1701.89
fcfs,32.0,1920,98319.86,94152.79,234610.49,101.46,746.85,335.73,1048.05,8751.51
fcfs,64.0,3840,302982.4,285213.09,701497.17,126.49,2143.49,854.78,2855.43,26223.5
mlfq,2.0,120,38.66,31.88,143.22,14.59,14.7,14.16,17.8,18.72
mlfq,4.0,240,41.92,40.18,75.0,19.49,19.65,20.44,22.28,23.47
mlfq,8.0,480,81.67,75.9,236.09,41.27,41.6,42.51,53.52,58.22
mlfq,16.0,960,134.7,122.98,419.33,150.37,150.55,110.98,288.87,414.79
mlfq,32.0,1920,154.01,127.38,591.15,494.61,492.63,426.74,803.94,1638.62
opt-xxx,2.0,120,43.88,37.62,86.22,14.72,14.85,14.24,18.08,18.84
opt-xxx,4.0,240,49.19,46.57,87.8,19.71,19.93,20.84,22.08,23.03
opt-xxx,8.0,480,97.43,90.33,270.1,44.29,44.7,45.56,57.47,63.41
opt-xxx,16.0,960,10192.72,182.94,85653.72,105.11,128.44,102.98,193.53,325.43
opt-xxx,32.0,1920,64573.1,779.49,253290.58,140.35,313.08,255.89,496.44,1385.94
opt-xxx,64.0,3840,248503.27,215425.26,685728.75,164.94,939.21,682.65,1334.26,6183.9
srtf-PO-X,2.0,120,38.58,32.03,132.33,14.76,14.84,14.37,17.84,18.68
srtf-PO-X,4.0,240,42.47,40.6,81.12,19.76,19.86,20.76,22.19,23.45
srtf-PO-X,8.0,480,86.19,82.21,237.49,43.76,43.94,44.84,56.82,59.8
srtf-PO-X,16.0,960,143.91,133.77,386.64,138.29,138.28,102.58,228.34,497.63
srtf-PO-X,32.0,1920,172.4,147.63,542.16,434.07,431.15,325.45,743.34,2559.82
srtf-PO-X,64.0,3840,2959.66,1023.99,11447.1,1197.9,1199.63,901.17,1963.7,7756.96
tpt-class10-xxx,2.0,120,43.7,38.62,84.89,14.77,14.9,14.34,17.93,18.78
tpt-class10-xxx,4.0,240,49.36,45.84,87.52,19.64,19.86,20.68,22.02,23.74
tpt-class10-xxx,8.0,480,101.02,90.15,287.74,44.37,44.77,46.05,57.61,63.14
tpt-class10-xxx,16.0,960,14414.6,184.46,92065.54,114.37,192.83,102.54,309.69,1248.91
tpt-class10-xxx,32.0,1920,88482.41,60128.2,282684.9,208.18,783.82,361.6,1048.45,7960.0
tpt-class10-xxx,64.0,3840,306083.9,317422.76,683586.93,213.97,2245.46,920.34,2969.41,25791.06
tpt-class82-xxx,2.0,120,45.08,38.77,107.39,14.8,14.93,14.38,17.98,18.76
tpt-class82-xxx,4.0,240,49.44,46.04,92.25,19.66,19.87,20.56,22.31,23.63
tpt-class82-xxx,8.0,480,98.47,90.81,263.31,44.78,45.17,46.84,57.72,63.43
tpt-class82-xxx,16.0,960,10757.35,188.83,86378.31,106.44,149.36,99.26,203.16,599.33
tpt-class82-xxx,32.0,1920,70715.75,18300.26,259031.67,149.99,475.71,271.6,581.09,3955.87
tpt-class82-xxx,64.0,3840,267605.63,238227.43,729848.07,201.8,1456.55,735.91,1637.49,14698.98
