scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,241.56,36.4,1909.92,16.76,17.71,16.41,23.55,28.14
fcfs,4.0,240,45.7,41.48,90.69,20.04,20.22,20.72,22.9,23.79
fcfs,8.0,480,93.9,85.19,274.39,43.02,43.42,44.17,56.44,60.03
fcfs,16.0,960,21337.6,16371.12,65338.15,87.07,212.52,130.79,305.96,1773.8
fcfs,32.0,1920,99819.99,95590.21,241392.89,103.92,761.36,340.28,1063.71,8629.1
fcfs,64.0,3840,315623.43,301360.63,718348.12,129.12,2223.73,888.7,2960.73,27030.0
mlfq,2.0,120,38.45,33.45,118.73,14.63,14.73,14.19,17.85,18.83
mlfq,4.0,240,42.17,40.01,76.06,19.7,19.86,20.55,22.45,23.95
mlfq,8.0,480,81.82,76.59,212.66,41.69,41.97,42.79,54.16,57.59
mlfq,16.0,960,139.87,124.82,408.08,153.81,154.03,113.73,294.64,410.76
mlfq,32.0,1920,155.73,130.2,531.82,512.46,510.08,439.51,825.36,1955.59
opt-xxx,2.0,120,42.86,38.0,77.28,14.81,14.93,14.35,18.15,18.9
opt-xxx,4.0,240,50.78,46.79,100.83,19.85,20.07,21.07,22.24,23.17
opt-xxx,8.0,480,99.36,93.5,278.2,45.0,45.4,46.15,58.67,63.12
opt-xxx,16.0,960,9315.2,183.12,83099.97,101.34,123.09,100.0,185.83,293.9
opt-xxx,32.0,1920,65137.35,975.78,255952.4,141.2,314.34,257.61,499.33,1390.48
opt-xxx,64.0,3840,242183.49,206608.93,677549.2,161.92,909.12,664.87,1302.23,5942.39
srtf-PO-X,2.0,120,36.16,30.47,72.92,14.75,14.83,14.33,17.89,18.89
srtf-PO-X,4.0,240,42.66,40.75,77.13,19.77,19.87,20.82,22.16,23.2
srtf-PO-X,8.0,480,84.74,81.8,228.63,44.19,44.38,45.19,57.72,61.52
srtf-PO-X,16.0,960,142.12,132.95,401.14,139.11,139.08,103.78,230.33,498.68
srtf-PO-X,32.0,1920,174.26,148.51,583.43,437.47,434.5,327.85,748.17,2526.96
srtf-PO-X,64.0,3840,3067.87,1051.22,12009.31,1204.2,1206.24,904.18,1973.15,7742.44
tpt-class10-xxx,2.0,120,43.87,37.6,85.51,14.9,15.03,14.54,18.13,18.78
tpt-class10-xxx,4.0,240,51.18,49.27,98.89,20.2,20.42,21.26,22.91,24.43
tpt-class10-xxx,8.0,480,102.49,94.26,275.3,45.24,45.63,46.38,59.56,64.6
tpt-class10-xxx,16.0,960,14079.39,182.33,92497.0,123.33,216.39,104.12,306.48,1764.41
tpt-class10-xxx,32.0,1920,87205.21,56931.03,282375.2,203.7,782.06,356.78,1030.25,7597.06
tpt-class10-xxx,64.0,3840,315006.65,320808.29,731788.39,225.81,2403.97,938.75,3069.03,26288.85
