scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,40.13,32.32,116.15,15.02,15.14,14.62,18.54,19.45
fcfs,4.0,240,43.78,39.83,90.34,19.27,19.45,20.01,21.84,22.21
fcfs,8.0,480,94.5,87.11,276.05,42.8,43.24,43.95,55.9,59.81
fcfs,16.0,960,20649.47,15357.43,62356.3,83.98,205.76,127.87,290.56,1761.41
fcfs,32.0,1920,97507.21,93290.06,232801.92,100.79,742.57,331.41,1037.83,8682.68
fcfs,64.0,3840,299896.77,281590.62,696440.31,125.62,2115.19,846.15,2810.72,26021.16
opt-xxx,2.0,120,44.98,36.56,82.81,14.84,14.97,14.39,18.2,18.96
opt-xxx,4.0,240,50.14,46.0,97.72,19.93,20.14,21.1,22.3,23.48
opt-xxx,8.0,480,97.49,90.73,252.65,44.12,44.52,45.39,57.3,61.89
opt-xxx,16.0,960,9169.15,174.48,82533.43,99.28,120.41,97.64,182.16,287.25
opt-xxx,32.0,1920,63617.85,896.96,250852.32,140.0,309.19,252.65,489.51,1357.73
opt-xxx,64.0,3840,238431.96,202226.65,666636.54,157.91,886.0,653.24,1280.24,5849.48
tpt-class10-xxx,2.0,120,45.57,38.37,86.84,14.82,14.95,14.4,17.95,18.75
tpt-class10-xxx,4.0,240,49.03,46.77,93.82,19.63,19.85,20.5,22.28,23.72
tpt-class10-xxx,8.0,480,99.15,92.63,259.35,43.64,44.01,44.92,56.71,62.65
tpt-class10-xxx,16.0,960,12907.73,182.65,91202.25,139.81,188.21,101.96,283.77,755.89
tpt-class10-xxx,32.0,1920,82977.35,48804.24,269917.32,191.52,693.17,339.13,976.63,6902.1
tpt-class10-xxx,64.0,3840,318154.26,325331.74,710232.56,197.54,2167.51,943.61,2988.25,25878.26
