scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,40.5,32.14,129.48,14.69,14.81,14.29,17.82,18.77
fcfs,4.0,240,43.15,39.56,84.89,19.16,19.33,19.95,21.69,22.2
fcfs,8.0,480,94.04,82.82,302.51,42.61,43.0,43.66,56.04,60.18
fcfs,16.0,960,20765.44,15468.09,63249.97,84.57,206.88,128.18,293.12,1761.28
fcfs,32.0,1920,101508.71,97394.02,241603.21,103.75,770.29,344.84,1077.98,8728.42
fcfs,64.0,3840,310361.89,292513.64,717594.13,128.83,2179.31,875.96,2912.92,26877.15
opt-xxx,2.0,120,46.64,38.6,121.33,14.67,14.81,14.17,17.98,18.74
opt-xxx,4.0,240,50.09,46.48,89.06,19.75,19.96,20.89,22.13,23.11
opt-xxx,8.0,480,97.8,91.25,290.65,44.2,44.62,45.21,57.88,63.53
opt-xxx,16.0,960,9584.26,186.65,84869.83,102.21,124.33,101.64,187.77,295.98
opt-xxx,32.0,1920,65718.25,1280.84,257855.26,141.86,317.52,258.88,503.97,1397.56
opt-xxx,64.0,3840,247873.62,211612.49,691345.57,162.76,935.53,679.71,1331.46,6203.98
sjf,2.0,120,27.16,25.34,80.37,15.0,15.04,14.59,18.29,19.16
sjf,4.0,240,28.82,27.76,48.99,20.17,20.22,21.11,22.63,23.44
sjf,8.0,480,48.2,42.62,175.58,46.6,46.6,47.51,60.67,64.71
sjf,16.0,960,15753.59,322.31,81808.25,87.56,114.13,103.15,172.22,204.43
sjf,32.0,1920,69846.13,49381.62,248481.52,103.1,228.11,246.63,368.86,406.32
sjf,64.0,3840,211823.08,154029.59,696453.44,124.55,509.79,544.73,861.43,919.37
tpt-class10-xxx,2.0,120,45.34,36.98,104.09,14.79,14.93,14.36,17.86,18.72
tpt-class10-xxx,4.0,240,50.3,47.42,95.4,19.53,19.74,20.6,21.84,22.97
tpt-class10-xxx,8.0,480,97.88,90.71,256.34,44.66,45.17,46.2,58.65,65.49
tpt-class10-xxx,16.0,960,14943.8,187.87,92522.88,113.8,196.35,103.9,304.24,1617.94
tpt-class10-xxx,32.0,1920,88881.38,55650.01,282984.46,193.74,826.14,355.99,1054.09,9601.22
tpt-class10-xxx,64.0,3840,318153.07,333411.43,706796.88,240.33,2374.87,958.74,2989.99,29905.26
