scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
sjf,2.0,120,27.3,25.46,93.53,15.19,15.25,14.77,18.55,19.42
sjf,4.0,240,30.43,29.15,53.21,20.42,20.49,21.34,22.84,23.76
sjf,8.0,480,49.9,43.42,195.87,47.26,47.26,48.21,61.91,65.81
sjf,16.0,960,17425.43,557.38,85223.74,90.8,120.89,106.82,180.57,211.78
sjf,32.0,1920,72458.54,53104.2,251546.95,105.52,236.72,258.04,376.8,411.5
sjf,64.0,3840,213486.09,153438.21,701910.23,125.2,512.21,544.72,870.18,925.5
sjf-noisy-las,2.0,120,26.03,25.08,46.69,15.34,15.38,14.84,18.81,19.29
sjf-noisy-las,4.0,240,31.35,30.13,58.16,20.92,20.98,22.08,23.32,25.7
sjf-noisy-las,8.0,480,53.77,46.57,190.72,52.39,52.38,53.93,70.73,77.03
sjf-noisy-las,16.0,960,24527.04,781.71,102259.11,92.62,154.65,105.55,270.22,312.12
sjf-noisy-las,32.0,1920,110506.57,114325.52,293679.85,109.81,422.5,553.24,672.28,786.2
sjf-noisy-las,64.0,3840,336219.06,336883.27,795121.9,138.16,1139.36,1431.28,1653.72,2139.64
sjf-noisy-sal,2.0,120,25.9,25.22,44.77,15.32,15.37,14.88,18.81,19.8
sjf-noisy-sal,4.0,240,32.22,30.26,89.74,21.48,21.54,22.25,25.1,26.62
sjf-noisy-sal,8.0,480,51.25,44.59,184.16,49.3,49.29,50.51,64.12,68.16
sjf-noisy-sal,16.0,960,24905.79,1100.33,105867.95,91.72,404.32,104.04,546.59,5068.38
sjf-noisy-sal,32.0,1920,102352.07,79049.43,295180.1,107.25,1280.15,275.51,1907.01,15478.1
sjf-noisy-sal,64.0,3840,317002.33,249849.9,806734.68,134.87,3727.58,629.99,6106.73,54711.17
