scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,33.95,29.41,115.31,13.41,13.72,13.49,14.77,18.5
fcfs,4.0,240,34.09,33.74,51.59,16.47,16.79,16.7,18.87,20.17
fcfs,8.0,480,53.06,50.42,153.9,25.04,25.57,26.69,29.17,32.06
fcfs,16.0,960,4397.83,161.32,20492.48,70.17,151.02,84.74,272.7,1259.22
fcfs,32.0,1920,51100.81,48649.76,130307.58,89.06,955.13,259.98,2728.54,9195.74
fcfs,64.0,3840,172187.41,170982.32,379474.99,102.47,3160.34,755.53,9488.68,29668.55
opt-xxx,2.0,120,42.49,36.21,108.31,13.59,13.97,13.74,15.33,17.47
opt-xxx,4.0,240,43.94,41.71,91.96,17.46,17.89,17.71,20.33,24.6
opt-xxx,8.0,480,70.24,67.55,188.65,29.77,30.52,32.23,36.03,41.76
opt-xxx,16.0,960,843.45,134.62,22959.68,73.97,76.4,83.8,97.49,125.12
opt-xxx,32.0,1920,21836.89,198.74,159786.84,123.06,177.8,116.19,306.23,797.0
opt-xxx,64.0,3840,83635.07,492.67,374277.06,145.41,429.36,248.39,704.52,4112.4
tpt-class10-xxx,2.0,120,37.54,33.63,71.83,13.17,13.5,13.33,14.58,16.77
tpt-class10-xxx,4.0,240,39.62,38.41,62.69,16.53,16.94,16.82,19.06,21.36
tpt-class10-xxx,8.0,480,58.89,57.62,124.52,26.01,26.64,27.76,31.09,34.85
tpt-class10-xxx,16.0,960,1237.88,137.68,27331.96,76.2,93.39,82.84,101.02,629.14
tpt-class10-xxx,32.0,1920,34511.54,230.36,150181.68,152.91,655.42,162.89,1657.86,7295.17
tpt-class10-xxx,64.0,3840,161789.0,149153.54,432451.71,296.0,2959.65,647.54,8873.99,33334.35
tpt-class82-125m,2.0,120,38.23,33.98,75.29,13.3,13.66,13.48,14.72,17.14
tpt-class82-125m,4.0,240,41.04,39.08,80.97,16.67,17.1,16.95,19.25,21.32
tpt-class82-125m,8.0,480,60.2,57.96,152.18,26.36,27.02,28.14,31.49,36.13
tpt-class82-125m,16.0,960,867.62,135.95,24445.09,75.37,79.05,85.31,100.17,161.95
tpt-class82-125m,32.0,1920,21693.83,193.87,146745.5,121.71,199.9,108.55,306.88,1513.42
tpt-class82-125m,64.0,3840,97051.53,794.58,392575.62,178.39,645.97,324.59,965.31,8517.23
tpt-class82-350m,2.0,120,42.67,37.97,81.91,13.27,13.69,13.5,14.68,16.49
tpt-class82-350m,4.0,240,43.59,42.27,72.68,17.05,17.5,17.3,19.7,22.82
tpt-class82-350m,8.0,480,64.45,62.95,113.27,27.54,28.24,29.37,33.0,37.57
tpt-class82-350m,16.0,960,988.69,141.67,25310.86,76.65,80.12,84.63,101.49,168.14
tpt-class82-350m,32.0,1920,23231.83,202.03,144918.37,120.28,242.29,110.47,351.26,2892.18
tpt-class82-350m,64.0,3840,106523.14,22365.51,403912.06,190.02,848.46,354.13,1311.15,12336.07
