scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,34.88,28.53,104.05,13.33,13.6,13.44,14.52,16.93
fcfs,4.0,240,34.91,33.19,72.82,16.53,16.85,16.75,18.91,20.14
fcfs,8.0,480,53.95,52.68,116.99,25.67,26.19,27.18,30.12,33.53
fcfs,16.0,960,4450.21,152.8,22384.5,72.75,155.98,85.51,272.2,1436.21
fcfs,32.0,1920,57417.21,52772.7,148916.56,97.74,1068.95,289.41,3056.3,10381.99
fcfs,64.0,3840,170259.15,172322.41,366602.95,99.7,3117.37,749.67,9383.65,28985.07
opt-xxx,2.0,120,39.31,36.05,69.76,13.35,13.71,13.45,15.17,16.77
opt-xxx,4.0,240,41.98,40.35,78.96,16.83,17.24,17.17,19.4,21.42
opt-xxx,8.0,480,67.1,62.71,191.69,27.81,28.54,29.7,33.5,38.93
opt-xxx,16.0,960,803.08,137.25,22316.76,73.42,75.84,83.34,96.86,126.7
opt-xxx,32.0,1920,18959.66,193.01,140598.99,111.86,159.24,103.28,268.03,713.38
opt-xxx,64.0,3840,83984.0,492.94,374672.74,146.01,431.59,250.87,709.15,4117.03
tpt-class10-xxx,2.0,120,38.02,34.2,73.34,13.26,13.59,13.42,14.6,17.1
tpt-class10-xxx,4.0,240,40.45,38.8,84.94,16.66,17.08,16.99,19.16,20.97
tpt-class10-xxx,8.0,480,59.67,57.77,142.61,26.19,26.81,28.0,31.18,34.81
tpt-class10-xxx,16.0,960,1354.65,137.66,28592.94,76.41,88.51,83.4,100.68,453.47
tpt-class10-xxx,32.0,1920,35676.79,236.74,155284.39,155.3,764.68,165.22,1560.23,9488.03
tpt-class10-xxx,64.0,3840,160213.72,146042.53,421091.39,306.12,3013.88,670.11,9223.15,32304.37
tpt-class82-125m,2.0,120,37.54,34.01,67.69,13.26,13.6,13.41,14.63,16.92
tpt-class82-125m,4.0,240,40.6,39.07,74.74,16.65,17.06,16.95,19.22,21.23
tpt-class82-125m,8.0,480,61.16,59.61,157.43,26.71,27.4,28.38,32.18,36.46
tpt-class82-125m,16.0,960,860.97,135.3,24789.12,75.12,78.91,85.2,99.77,149.34
tpt-class82-125m,32.0,1920,21904.96,196.49,145513.55,121.27,202.02,107.99,308.55,1795.95
tpt-class82-125m,64.0,3840,97353.42,720.67,396812.88,179.15,648.95,326.97,999.71,8921.35
tpt-pctl10-xxx,2.0,120,38.02,34.52,67.61,13.23,13.57,13.36,14.62,16.74
tpt-pctl10-xxx,4.0,240,41.93,41.14,71.22,16.91,17.34,17.22,19.75,21.68
tpt-pctl10-xxx,8.0,480,62.01,59.56,168.79,26.55,27.23,28.2,31.95,37.2
tpt-pctl10-xxx,16.0,960,1091.56,143.51,28681.22,77.51,80.73,87.53,104.0,156.74
tpt-pctl10-xxx,32.0,1920,20622.78,200.46,143414.81,122.49,200.71,106.57,295.62,1787.65
tpt-pctl10-xxx,64.0,3840,97370.67,776.21,398027.47,177.4,649.5,313.4,971.87,8709.03
