scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,39.58,32.94,88.91,14.83,14.95,14.42,17.96,18.95
fcfs,4.0,240,45.21,41.04,99.48,19.41,19.58,20.18,21.91,22.38
fcfs,8.0,480,93.22,85.96,235.1,42.9,43.32,44.12,55.86,60.09
fcfs,16.0,960,20057.9,15015.33,61181.41,83.14,200.13,125.23,284.52,1702.07
fcfs,32.0,1920,97586.77,93214.27,233171.65,100.82,740.01,332.0,1041.51,8390.09
fcfs,64.0,3840,297946.29,279239.15,694436.71,125.21,2101.66,838.26,2795.32,25706.23
opt-xxx,2.0,120,44.74,39.89,85.91,14.78,14.91,14.27,18.09,18.88
opt-xxx,4.0,240,50.58,47.58,90.23,19.8,20.01,20.96,22.15,23.19
opt-xxx,8.0,480,97.18,90.56,248.01,44.46,44.86,45.43,57.91,61.79
opt-xxx,16.0,960,9158.12,174.59,81859.34,99.98,121.26,98.35,183.1,289.48
opt-xxx,32.0,1920,64320.55,1146.52,253232.15,139.35,311.5,253.92,494.0,1353.23
opt-xxx,64.0,3840,240402.25,204825.76,672933.83,159.83,902.97,659.32,1294.95,6023.2
tpt-class10-xxx,2.0,120,45.44,38.2,123.78,14.86,15.0,14.48,18.13,18.68
tpt-class10-xxx,4.0,240,50.51,47.07,93.39,19.76,19.98,20.86,22.07,23.91
tpt-class10-xxx,8.0,480,99.9,92.75,268.44,45.13,45.52,46.71,58.74,64.5
tpt-class10-xxx,16.0,960,13560.92,185.34,92546.75,124.35,197.1,102.8,298.75,1345.03
tpt-class10-xxx,32.0,1920,83579.0,54903.81,267572.18,192.2,754.6,342.85,1002.48,6911.78
tpt-class10-xxx,64.0,3840,303704.65,309781.63,683737.48,211.57,2079.36,900.81,2820.86,24132.1
tpt-class82-125m,2.0,120,43.71,37.89,90.63,14.73,14.86,14.32,18.01,18.71
tpt-class82-125m,4.0,240,50.7,47.62,98.23,19.55,19.77,20.43,22.25,23.72
tpt-class82-125m,8.0,480,95.31,88.03,238.03,43.46,43.83,44.18,56.56,62.38
tpt-class82-125m,16.0,960,10316.18,179.62,84074.65,106.68,152.18,98.89,204.32,596.79
tpt-class82-125m,32.0,1920,69939.99,13038.53,257011.11,151.41,456.38,270.46,597.26,3465.88
tpt-class82-125m,64.0,3840,267571.2,241438.51,736111.8,196.67,1457.26,734.01,1673.07,14641.59
tpt-class82-350m,2.0,120,47.72,41.81,104.92,14.86,15.0,14.46,18.04,18.7
tpt-class82-350m,4.0,240,53.03,50.22,97.7,19.92,20.15,20.96,22.5,24.04
tpt-class82-350m,8.0,480,106.61,97.65,281.43,45.23,45.66,47.04,58.42,62.26
tpt-class82-350m,16.0,960,11965.88,195.16,88074.55,108.07,143.17,102.73,222.12,530.52
tpt-class82-350m,32.0,1920,76526.18,30294.71,274880.36,160.29,453.34,301.39,687.18,3852.1
tpt-class82-350m,64.0,3840,278261.39,257435.39,744903.85,195.25,1260.28,785.06,1768.25,12384.92
