scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,39.66,33.21,94.36,14.81,14.92,14.43,17.93,18.87
fcfs,4.0,240,43.88,40.55,89.78,19.35,19.53,20.14,21.83,22.62
fcfs,8.0,480,94.37,86.31,272.75,42.51,42.98,43.54,55.64,61.65
fcfs,16.0,960,20121.05,15107.15,61105.16,83.13,201.59,125.25,286.77,1706.61
fcfs,32.0,1920,97982.36,94150.63,233833.05,101.18,752.74,333.97,1044.7,8722.69
fcfs,64.0,3840,297428.02,278281.14,696470.66,125.58,2082.43,837.1,2794.18,25860.3
opt-xxx,2.0,120,44.83,39.09,95.14,14.8,14.94,14.36,18.1,18.88
opt-xxx,4.0,240,50.61,47.82,94.14,19.81,20.03,20.93,22.14,23.26
opt-xxx,8.0,480,105.04,96.56,291.53,47.65,48.06,48.98,63.29,68.44
opt-xxx,16.0,960,11204.46,201.27,89199.77,108.15,133.93,107.77,200.76,332.04
opt-xxx,32.0,1920,64589.48,841.52,254251.04,139.83,311.48,254.62,495.43,1364.91
opt-xxx,64.0,3840,244563.63,207424.33,691009.63,158.14,913.99,665.45,1318.82,5890.64
tpt-class10-xxx,2.0,120,44.5,39.17,94.51,14.73,14.87,14.33,17.95,18.68
tpt-class10-xxx,4.0,240,52.18,49.59,94.62,20.49,20.72,21.37,23.53,25.37
tpt-class10-xxx,8.0,480,108.69,100.72,288.51,49.3,49.83,50.72,66.8,74.44
tpt-class10-xxx,16.0,960,13596.56,186.5,90510.9,119.19,183.02,102.41,297.92,1320.44
tpt-class10-xxx,32.0,1920,91834.1,61038.59,291698.88,256.58,830.3,381.92,1087.32,9747.33
tpt-class10-xxx,64.0,3840,312512.79,310625.88,742286.17,243.97,2206.11,941.02,2976.69,23870.39
tpt-class82-125m,2.0,120,44.21,38.55,79.13,14.85,14.98,14.45,18.09,18.79
tpt-class82-125m,4.0,240,49.97,46.97,91.7,19.56,19.78,20.63,21.82,23.12
tpt-class82-125m,8.0,480,104.26,97.24,260.04,48.16,48.59,49.53,65.01,71.26
tpt-class82-125m,16.0,960,11856.64,195.16,91622.95,113.83,161.12,105.6,224.08,678.75
tpt-class82-125m,32.0,1920,81185.33,24117.52,299285.34,168.37,535.97,303.06,698.64,4453.29
tpt-class82-125m,64.0,3840,288632.64,250478.65,792473.5,186.62,1617.46,785.32,1800.84,15766.51
tpt-pctl10-xxx,2.0,120,44.77,39.6,95.65,14.86,14.99,14.51,18.04,18.74
tpt-pctl10-xxx,4.0,240,52.21,48.31,102.45,20.61,20.84,21.42,23.82,25.16
tpt-pctl10-xxx,8.0,480,99.63,91.39,250.3,45.32,45.71,46.91,58.8,63.4
tpt-pctl10-xxx,16.0,960,10407.45,185.07,86746.73,107.76,138.02,99.92,201.39,500.03
tpt-pctl10-xxx,32.0,1920,73327.07,2395.1,282830.19,155.21,412.01,280.07,624.15,3083.9
tpt-pctl10-xxx,64.0,3840,277478.32,240260.42,798246.94,179.18,1262.41,745.35,1713.05,11324.76
