date,package,version
2024-04-24,transformers,4.40.1
2024-04-24,tokenizers,0.19.1
2024-04-24,ray,2.11.0
2024-04-24,numpy,1.26.4
2024-04-24,flash-attn,2.5.7
2024-04-24,accelerate,0.29.3
2024-04-24,scipy,1.13.0
2024-04-24,scikit-learn,1.4.2
2024-04-24,matplotlib,3.8.4
2024-04-24,evaluate,0.4.1
2024-04-24,fschat,0.2.36
2024-04-24,fastapi,0.110.2
2024-04-24,huggingface-hub,0.22.2
2024-04-24,torch,2.2.2
2024-04-24,pydantic,2.7.1
2024-04-24,psutil,5.9.8
2024-04-24,sentencepiece,0.2.0
2024-04-24,requests,2.31.0
2024-04-24,uvicorn,0.29.0
2024-04-24,prometheus_client,0.20.0
2024-07-01,transformers,4.42.3
2024-07-01,tokenizers,0.19.1
2024-07-01,ray,2.31.0
2024-07-01,numpy,1.26.4
2024-07-01,flash-attn,2.5.9.post1
2024-07-01,accelerate,0.31.0
2024-07-01,scipy,1.14.0
2024-07-01,scikit-learn,1.5.0
2024-07-01,matplotlib,3.9.0
2024-07-01,evaluate,0.4.2
2024-07-01,fschat,0.2.36
2024-07-01,fastapi,0.111.0
2024-07-01,huggingface-hub,0.23.4
2024-07-01,torch,2.3.1
2024-07-01,pydantic,2.7.4
2024-07-01,psutil,6.0.0
2024-07-01,sentencepiece,0.2.0
2024-07-01,requests,2.32.3
2024-07-01,uvicorn,0.30.1
2024-07-01,prometheus_client,0.20.0
2024-10-31,transformers,4.46.1
2024-10-31,tokenizers,0.20.1
2024-10-31,ray,2.38.0
2024-10-31,numpy,2.1.2
2024-10-31,flash-attn,2.6.3
2024-10-31,accelerate,1.0.1
2024-10-31,scipy,1.14.1
2024-10-31,scikit-learn,1.5.2
2024-10-31,matplotlib,3.9.2
2024-10-31,evaluate,0.4.3
2024-10-31,fschat,0.2.36
2024-10-31,fastapi,0.115.4
2024-10-31,huggingface-hub,0.26.2
2024-10-31,torch,2.5.1
2024-10-31,pydantic,2.9.2
2024-10-31,psutil,6.1.0
2024-10-31,sentencepiece,0.2.0
2024-10-31,requests,2.32.3
2024-10-31,uvicorn,0.32.0
2024-10-31,prometheus_client,0.21.0
2025-07-01,transformers,4.53.0
2025-07-01,tokenizers,0.21.2
2025-07-01,ray,2.47.1
2025-07-01,numpy,2.2.6
2025-07-01,flash-attn,2.8.0.post2
2025-07-01,accelerate,1.8.1
2025-07-01,scipy,1.15.3
2025-07-01,scikit-learn,1.7.0
2025-07-01,matplotlib,3.10.3
2025-07-01,evaluate,0.4.4
2025-07-01,fschat,0.2.36
2025-07-01,fastapi,0.115.14
2025-07-01,huggingface-hub,0.33.1
2025-07-01,torch,2.7.1
2025-07-01,pydantic,2.11.7
2025-07-01,psutil,7.0.0
2025-07-01,sentencepiece,0.2.0
2025-07-01,requests,2.32.4
2025-07-01,uvicorn,0.35.0
2025-07-01,prometheus_client,0.22.1
2026-03-24,transformers,5.3.0
2026-03-24,tokenizers,0.22.2
2026-03-24,ray,2.54.0
2026-03-24,numpy,2.2.6
2026-03-24,flash-attn,2.8.3
2026-03-24,accelerate,1.13.0
2026-03-24,scipy,1.15.3
2026-03-24,scikit-learn,1.7.2
2026-03-24,matplotlib,3.10.8
2026-03-24,evaluate,0.4.6
2026-03-24,fschat,0.2.36
2026-03-24,fastapi,0.135.2
2026-03-24,huggingface-hub,1.7.2
2026-03-24,torch,2.11.0
2026-03-24,pydantic,2.12.5
2026-03-24,psutil,7.2.2
2026-03-24,sentencepiece,0.2.1
2026-03-24,requests,2.32.5
2026-03-24,uvicorn,0.42.0
2026-03-24,prometheus_client,0.24.1
