model,dataset,epoch,loss,kendall_tau,p_value,train_acc,exact_acc,within1_acc,log_file
class82,lmsys,1,1.7165030242072212,0.5049845468781822,1.90676736503844e-97,0.428,,,train_lmsys_class82.log
class82,lmsys,2,1.5287017732196384,0.4984905468757335,1.1377701243244693e-93,0.436,,,train_lmsys_class82.log
class82,lmsys,3,1.4297611989974977,0.5664931168776614,2.0995433015620876e-123,0.404,,,train_lmsys_class82.log
class82,lmsys,4,1.2972198038101197,0.5472105437197188,7.61806122102351e-122,0.418,,,train_lmsys_class82.log
class82,lmsys,5,1.129173181851705,0.5463901887548591,3.566216788306668e-120,0.411,,,train_lmsys_class82.log
pctl10,lmsys,1,1.875219636493259,0.5889329989987454,3.4573266299815393e-133,,0.297,0.591,train_lmsys_pctl10.log
pctl10,lmsys,2,1.7004793683158026,0.5959760426380547,3.1707829816779764e-142,,0.334,0.638,train_lmsys_pctl10.log
pctl10,lmsys,3,1.5912305306328667,0.6166723792921094,1.3313087852397374e-152,,0.348,0.655,train_lmsys_pctl10.log
pctl10,lmsys,4,1.4648336623509726,0.5794331001571098,9.769061468587584e-135,,0.329,0.609,train_lmsys_pctl10.log
pctl10,lmsys,5,1.3232075390285916,0.5744728289791643,2.6452110817494558e-132,,0.321,0.612,train_lmsys_pctl10.log
width10,lmsys,1,4.105397880554199,0.4774525119622199,1.1834363041621087e-100,0.111,,,train_lmsys_width10.log
width10,lmsys,2,3.710286651611328,0.4477966567906063,7.783150841199366e-86,0.141,,,train_lmsys_width10.log
width10,lmsys,3,3.585389645470513,0.5423224322071603,4.189795241419982e-131,0.144,,,train_lmsys_width10.log
width10,lmsys,4,3.4532494926452637,0.5342782415707708,7.315437389233085e-128,0.144,,,train_lmsys_width10.log
width10,lmsys,5,3.30655287721422,0.5343127739256981,3.5783596378231437e-131,0.125,,,train_lmsys_width10.log
class82,sharegpt,1,2.1148949712117515,0.4127816135742075,7.143673183989814e-67,0.242,,,train_sharegpt_class82.log
class82,sharegpt,2,1.9414874708387586,0.43752242741275604,1.4283615124439455e-76,0.267,,,train_sharegpt_class82.log
class82,sharegpt,3,1.8673453530205621,0.4114827206533383,6.746402870181314e-70,0.265,,,train_sharegpt_class82.log
class82,sharegpt,4,1.7520877236260308,0.4358567343710897,3.5285098739297354e-79,0.281,,,train_sharegpt_class82.log
class82,sharegpt,5,1.5953560023837619,0.4286012452417603,4.3158961732709326e-79,0.262,,,train_sharegpt_class82.log
pctl10,sharegpt,1,2.0840218209160697,0.4391024270248442,7.092752923252287e-75,,0.219,0.501,train_sharegpt_pctl10.log
pctl10,sharegpt,2,1.9547716428968642,0.45958081060425193,3.3204804519102604e-85,,0.234,0.55,train_sharegpt_pctl10.log
pctl10,sharegpt,3,1.9050274058447945,0.4308315490697909,4.216626571107674e-74,,0.224,0.514,train_sharegpt_pctl10.log
pctl10,sharegpt,4,1.8013846215142144,0.4479478335219722,2.8689951307623443e-79,,0.237,0.517,train_sharegpt_pctl10.log
pctl10,sharegpt,5,1.6463895653618708,0.46085905392746096,1.0766598517947118e-82,,0.222,0.513,train_sharegpt_pctl10.log
width10,sharegpt,1,4.712745659722223,0.00694481380543335,0.7752484347351254,0.027,,,train_sharegpt_width10.log
width10,sharegpt,2,4.5266423611111115,-0.14567536241265872,1.2373928895729913e-08,0.02,,,train_sharegpt_width10.log
width10,sharegpt,3,4.51835546875,0.22035843498185184,1.6347095833748964e-20,0.024,,,train_sharegpt_width10.log
width10,sharegpt,4,4.501899956597223,0.18978736732206392,4.3807804749524343e-16,0.03,,,train_sharegpt_width10.log
width10,sharegpt,5,4.489948350694444,0.15140767392554438,6.341703026487615e-11,0.03,,,train_sharegpt_width10.log
